Dimensão,Status,Cenário,Prompt,Comentário
structure,FAIL,44 file_rename_win_non_dll_to_dll_ext,prompt3,Missing required fields such as 'logsource.provider' and 'detection.filter_optional_*'. The structure focuses on process creation rather than file rename events.
structure,WARN,10 db_anomalous_query,prompt2,"Missing required fields such as 'level' which should be set to 'high'. Additionally, the rule lacks a reference to SQL query logging being enabled."
structure,WARN,15 registry_event_runkey_winekey,prompt3,"Missing fields like 'date', 'tags', and 'level'. The level should be more specific if critical is not necessary."
structure,WARN,19 kubernetes_audit_exec_into_container,prompt3,"The rule lacks some required fields such as 'tags', which should include specific ATT&CK technique IDs. Additionally, the date format might need to be reviewed for consistency w..."
invented_filters,FAIL,10 db_anomalous_query,prompt2,The log source category 'registry_event' has no basis in the threat description. The rule should use 'database' instead.
invented_filters,FAIL,11 file_delete_win_delete_exchange_powershell_logs,prompt3,"The rule lacks specific filters for the Exchange cmdlet logging directory structure and does not include a filename pattern, which has a basis in the threat description. This om..."
invented_filters,FAIL,14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,prompt2,The rule includes a filter for 's-content: |contains 'country' and |endswith '.py'' which has no basis in the threat description. This is an invented filter that does not align ...
invented_filters,WARN,23 win_appxdeployment_server_appx_downloaded_from_file_sharing_domains,prompt1,"The rule includes filters for specific paths (e.g., Windows Terminal, SysinternalsSuite) which are not directly mentioned in the threat description but may be relevant to exclud..."
invented_filters,WARN,29 file_event_win_susp_startup_folder_persistence,prompt3,The rule specifies Image|endswith for PowerShell executables but does not cover a comprehensive list of potentially malicious extensions and file types mentioned in the threat d...
invented_filters,WARN,35 zeek_http_executable_download_from_webdav,prompt1,"The rule does not add any filters that have no basis in the threat description, but it could be more specific by using |contains to ensure accurate detection of path fragments."
condition,FAIL,26 win_security_exploit_cve_2023_36884_office_windows_html_rce_share_access_pattern,prompt2,The condition 'all of selection_path and selection_image' is incorrect based on the requirement to use `1 of selection_share_*` syntax. The rule does not correctly implement thi...
condition,FAIL,27 appframework_ruby_on_rails_exceptions,prompt2,The detection logic is incorrect as it references a URL instead of defining conditions based on exception classes or other relevant criteria.
condition,FAIL,31 create_remote_thread_win_powershell_generic,prompt2,The condition lacks the exclusion logic specified in the threat description (filter_main_*).
condition,WARN,14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,prompt2,"The condition should be 'all of selection_*' as per the spec, not just 'selection'. This requires two separate selection blocks combined with AND logic."
condition,WARN,14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,prompt3,"The condition should be more specific to combine two selection blocks with AND logic, rather than a single 'selection' block."
condition,WARN,16 appframework_django_exceptions,prompt1,The condition is simple and correct but does not specify a logical operator for combining the log levels. It should be 'or' if multiple log levels are being checked.
